name,series,character,release,price,size,sculptor,painter,material,brand,url,blog_url
"ハチロク　水着Ver.","まいてつ pure station","MAITETSU pure station Hachiroku","2022年1月発売 ","19,580円（税抜17,800円） ","1/6 スケール 全高：約230mm","タカク＆タケシ","渡邊 恭大","PVC&ABS製塗装済完成品２パターンが再現可能！【笑顔＋ワンピース】【照れ顔＋ビキニ】",Alter,https://alter-web.jp/products/482/,"/blog_alter/2022/220/,/blog_alter/2020/179/,"
"冬坂 五百里","十三機兵防衛圏","13 SENTINELS: AEGIS RIM Iori Fuyusaka","2023年12月発売 ","20,680円（税抜18,800円） ","1/7 スケール 全高：約260mm（台座含む）","稲垣 洋","鉄森 七方","PVC&ABS製塗装済完成品",Alter,https://alter-web.jp/products/533/,"/blog_alter/2022/254/,"
"ランサー／謎のアルターエゴ・Λ","Fate/Grand Order","Fate/Grand Order Lancer/Mysterious Alter Ego Λ","2023年11月発売 ","31,680円（税抜28,800円） ","1/7 スケール 全高：約250mm","sai","鉄森 七方","PVC&ABS製塗装済完成品サングラス姿が再現可能、リヴァイアサン付属",Alter,https://alter-web.jp/products/535/,"/blog_alter/2022/256/,"
"ポーラ　水辺のハプニング？Ver.","アズールレーン","AZUR LANE RN Pola","2023年11月発売 ","18,480円（税抜16,800円） ","1/7 スケール 全高：約160mm","みさいる","鉄森 七方","PVC&ABS製塗装済完成品",Alter,https://alter-web.jp/products/527/,"/blog_alter/2022/248/,"
"愛宕＆高雄　レースクイーンVer.","アズールレーン","AZUR LANE IJN Atago & IJN Takao","2023年10月発売 ","40,480円（税抜36,800円） ","1/7 スケール 全高：約250mm","槙尾 宗利","星名 詠美","PVC&ABS製塗装済完成品※セット仕様です。単体展示はできません。",Alter,https://alter-web.jp/products/530/,"/blog_alter/2022/250/,"
"愛宕　凄艶のマックススピードVer.","アズールレーン","AZUR LANE IJN Atago","2023年10月発売 ","20,680円（税抜18,800円） ","1/7 スケール 全高：約250mm","槙尾 宗利","星名 詠美","PVC&ABS製塗装済完成品",Alter,https://alter-web.jp/products/528/,"/blog_alter/2022/250/,"
"高雄　魅惑のフルドライブVer.","アズールレーン","AZUR LANE IJN Takao","2023年10月発売 ","20,680円（税抜18,800円） ","1/7 スケール 全高：約250mm","槙尾 宗利","星名 詠美","PVC&ABS製塗装済完成品",Alter,https://alter-web.jp/products/529/,"/blog_alter/2022/250/,"
"愛宕　真夏の行進曲Ver.","アズールレーン","AZUR LANE IJN Atago","2023年9月発売  2020年6月発売 ","22,880円（税抜20,800円） ","1/7 スケール 全高：約240mm","槙尾 宗利","星名 詠美","PVC&ABS製塗装済完成品",Alter,https://alter-web.jp/products/245/,"/blog_alter/2022/255/,/blog_alter/2019/138/,"
"高雄　砂浜ラプソディVer.","アズールレーン","AZUR LANE IJN Takao","2023年9月発売  2020年10月発売 ","17,380円（税抜15,800円） ","1/7 スケール 全高：約180mm","槙尾 宗利","星名 詠美","PVC&ABS製塗装済完成品",Alter,https://alter-web.jp/products/255/,"/blog_alter/2022/255/,/blog_alter/2019/151/,"
"ボルチモア　エースの放課後Ver.","アズールレーン","AZUR LANE USS Baltimore","2023年9月発売 ","22,880円（税抜20,800円） ","1/7 スケール 全高：約250mm","田中 冬志","けん 彩色協力：アルター","PVC&ABS製塗装済完成品表情は２種が再現可能",Alter,https://alter-web.jp/products/531/,"/blog_alter/2022/251/,"
