figure_id,character
233,シャルロット・デュノア　ジャージVer.
234,柳生義仙
235,松前 緒花
236,エーリカ・ハルトマン
237,エイラ・イルマタル・ユーティライネン
238,真鍋 和
239,百姫
240,テイルズ オブ エクシリア　ミラ＝マクスウェル
241,ストッキング
242,四方堂 ナリカ　超昂閃忍Ver.
243,ALVIS BY LASTEXILE
243,LAVIE BY LASTEXILE
244,ニーソックス
245,フェイト・T・ハラオウン　-Summer holiday-
246,セイバー　メイドVer. R
247,テイルズ オブ ヴェスペリア　リタ・モルディオ
248,種島 ぽぷら
249,モモ・ベリア・デビルーク
250,バディ
251,セルベリア・ブレス　水着Ver.
252,ルイズ　ゴスパンクVer.
253,アイギス　ART WORKS Ver.
254,シャーロット・E・イェーガー
255,メリー・ナイトメア
256,高町ヴィヴィオ
257,カミナギ・リョーコ　-Resurrection-
258,田井中 律
259,フェイト・テスタロッサ　水着Ver.
260,山田 葵
261,平沢 憂
262,平沢 唯
263,ミーナ・ディートリンデ・ヴィルケ
264,戦場ヶ原 ひたぎ
265,初春 飾利
266,高町なのは -STAND BY READY-
267,高町なのは　制服Ver.
268,セイバー　Summer Ver.
269,遠坂 凛　Summer Ver.
270,ホウメイ
271,佐天 涙子
272,大神 涼子
273,フェイト・テスタロッサ　私服Ver.
274,フェイト・T・ハラオウン　真・ソニックフォーム
275,フェイト・テスタロッサ -PHANTOM MINDS-
276,式波・アスカ・ラングレー　テスト用プラグスーツVer.
277,木下 秀吉
278,秋山 澪
279,のどっち
280,琴吹 紬
281,セルベリア・ブレス　ヴァルキュリアVer.
282,笹瀬川 佐々美
283,能美 クドリャフカ
284,秋山 澪　学園祭Ver.
285,クララクラン・フィリアス　甲冑Ver.
286,天江 衣
287,サーニャ・V・リトヴャク
288,聖王ヴィヴィオ
289,千姫
290,宮藤 芳佳
291,イルファ
292,中野 梓
293,片岡 優希
294,シャマル
294,ザフィーラ
295,魔想 志津香
296,河野 はるみ
297,服部半蔵
298,セイバー・リリィ
299,夏侯淵 妙才
300,呂蒙 子明
301,趙雲 子龍
302,関羽 雲長
303,高町なのは　エクシードモード
304,久慈川 りせ　水着Ver.
305,カーヤ
306,シルファ
307,ファティナ
308,ブラックアリエス
309,ヴィータ
310,スバル・ナカジマ
311,謎の賞金稼ぎ ヨーコ・リットナー
312,蒼崎 橙子
313,川添 珠姫
314,メタトロン
315,南極 さくら　メイド服Ver.
316,ルイズ　制服Ver.
317,戦姫
318,長門 有希　制服Ver.
319,リインフォースII
320,ヨマコ先生
321,シグナム
322,ティアナ・ランスター
323,セイバー　メイドVer.
324,聖天使ジブリール・ゼロ
325,時雨 亜沙
326,八神はやて
327,涼宮 ハルヒ　制服Ver.
328,エリザベス
329,綾波 レイ
330,彩
331,ユニゾンヴィータ
332,リリィ・サルバターナ
333,鷹守 ハルカ
334,チューア・チュラム
335,月城 ミーナ
336,朝比奈 みくる　メイドVer.
337,ファウナ
338,シエスタ
339,桐条 美鶴
340,ヨルズ
341,閻魔 あい
342,フェイト・テスタロッサ
343,シャロン
344,黒のフランコ
345,長門 有希　水着Ver.
346,アロエ 
346,CPUシャロン
347,エグゼリカ
348,ルイズ　ビスチェVer.
349,ナディ
350,エスカレイヤー
351,デス先生
352,名前のない女
353,鶴屋さん　メイドVer.
354,アイギス
355,レウコテア
356,カミナギ・リョーコ
357,真紅
358,アルクェイド・ブリュンスタッド
359,天羽 雅音　ウィッチブレイド発動態パワーアップVer.
360,荻上 千佳　コスプレVer.
361,アル・アジフ　水着Ver.
362,ルキア
363,花本 はぐみ
364,有坂 香月　競泳Ver.
365,風のうしろを歩むもの
366,周防 美琴　水着Ver.
367,レヴィ
368,ライダー　水着Ver.
369,天羽 雅音　私服Ver.
370,斎香・Ｓ・ファルネーゼ
371,聖天使ジブリール
372,ルイズ
373,沢近 愛理　水着Ver.
374,津崎 青葉 
374,モリビト2号
375,橘 玲
376,イリヤ　水着Ver.
377,ナギ　死神装束Ver.
378,間桐 桜　戦闘服Ver.
379,カレン・オルテンシア
380,イグニス
381,セイバー　水着Ver.
382,十条 紫苑
383,Xenosaga　KOS-MOS
384,アルヴィス・Ｅ・ハミルトン
385,竜胆 リナ
386,葉月　ドレスVer.
387,厳島 貴子
388,ジョウ
389,エイミー
390,メグ
391,ヒカル　死神装束Ver.
392,黒セイバー　ドレスVer.
393,宮小路 瑞穂
394,セイ
395,高町なのは
396,間桐 桜　水着Ver.
397,聖天使ジブリール アリエス
398,ガーネット
399,セイバー　私服Ver.
400,なぎさ
401,惣流・アスカ・ラングレー
402,遠坂 凛　水着Ver.
403,ベッキー 
403,メソウサ
404,木ノ下 貴子　水着Ver.
405,水樹 マイア
406,綾波 レイ
407,GRANBLUE FANTASY Percival
408,Fate/Grand Order Archer/Gilgamesh
409,Kimetsu No Yaiba Tomioka Giyu
410,SWORD ART ONLINE Kirito
411,Fate/Grand Order Saber/Gawain
412,キャスター／マーリン
413,セイバー／アーサー・ペンドラゴン［プロトタイプ］
414,天ヶ瀬 冬馬
415,ユーリ・ローウェル
415,ラピード
416,アヴェンジャー／巌窟王 エドモン・ダンテス
417,テイルズ オブ ベルセリア　アイゼン
418,ディーオ・エラクレア
419,テイルズ オブ ゼスティリア ザ クロス　スレイ
420,テイルズ オブ ゼスティリア ザ クロス　ミクリオ
421,葉月 渚
422,竜ヶ崎 怜
423,アーチャー
424,山崎 宗介
425,カミュ
426,朔間 零
427,美風 藍
428,七瀬 遙
428,橘 真琴
429,黒崎 蘭丸
430,愛島 セシル
431,寿 嶺二
432,朔間 凛月
433,レオナルド・ウォッチ　Ending Ver.
434,テイルズ オブ エクシリア2　ユリウス・ウィル・クルスニク
435,テイルズ オブ エクシリア2　ルドガー・ウィル・クルスニク
436,折原 臨也　サイケデリックVer.
437,伏見 猿比古
438,八田 美咲
439,七瀬 遙
440,橘 真琴
441,跡部 景吾
442,松岡 凛
443,折原 臨也　Renewal Ver.
444,平和島 静雄　Renewal Ver.
445,テイルズ オブ グレイセス エフ　アスベル・ラント
446,テイルズ オブ シンフォニア　ロイド・アーヴィング
447,テイルズ オブ ジ アビス　ルーク・フォン・ファブレ
448,四ノ宮 那月
449,来栖 翔
450,夏目 貴志
451,聖川 真斗
452,神宮寺 レン
453,テイルズ オブ シンフォニア　ゼロス・ワイルダー
454,一十木 音也
455,一ノ瀬 トキヤ
456,テイルズ オブ ヴェスペリア　天を射る矢（アルトスク）のレイヴン
457,ウェイバー・ベルベット
458,テイルズ オブ エクシリア　ジュード・マティス
459,折原 臨也
460,一方通行（アクセラレータ）
461,平和島 静雄
462,テイルズ オブ ヴェスペリア　フレン・シーフォ
463,テイルズ オブ ヴェスペリア　ユーリ・ローウェル
464,木ノ瀬 梓
465,池沢 佳主馬 
