figure_id,measurement
370,全高：約200mm
371,全高：約130mm
372,全高：約190mm
373,全長：約200mm
374,全高：【津崎青葉】約160mm
374,【モリビト2号】約70mm
375,全高：約160mm
376,全高：約195mm
377,全高：約180mm
378,全高：約200mm
379,全高：約180mm
380,全高：約200mm
381,全高：約240mm
382,全高：約210mm
383,全高：約210mm
384,全高：約160mm（台座含まず）
385,全高：約180mm
386,全高：約100mm
387,全高：約200mm
388,全高：約190mm
389,全高：約180mm
390,全高：約130mm
391,全高：約200mm
392,全高：約190mm
393,全高：約210mm
394,全高：約210mm
395,全高：約180mm
396,全高：約240mm
397,全高：約180mm
398,全高：約230mm
399,全高：約190mm
400,全高：約200mm
401,全高：約180mm
402,全高：約260mm
403,全高：約160mm
404,全高：約130mm
405,全高：約250mm
406,全高：約160mm
407,全高：約270mm（武器含む）
408,全高：約250mm
409,全高：約240mm（台座含む）
410,全高：約260mm
411,全高：約250mm
412,全高：約280mm（武器含む）
413,全高：約240mm
414,全高：約230mm
415,全高：【ユーリ】約200mm
415,【ラピード】約170mm
416,全高：約240mm
417,全高：約220mm
418,全高：約210mm
419,全高：約170mm
420,全高：約200mm（武器含む）
421,全高：約250mm
422,全高：約225mm
423,全高：約250mm（武器含む）
424,全高：約240mm
425,全高：約230mm
426,全高：約260mm
427,全高：約220mm
428,全高：【遙】約180mm
428,【真琴】約210mm
429,全高：約230mm
430,全高：約230mm（台座含む）
431,全高：約220mm
432,全高：約250mm
433,全高：約210mm
434,全高：約220mm
435,全高：約210mm
436,全高：約170mm（台座含む）
437,全高：約240mm（帽子含む）
438,全高：約230mm（銃含む）
439,全高：約220mm
440,全高：約230mm
441,全高：約230mm（台座含む）
442,全高：約225mm
443,全高：約210mm
444,全高：約220mm
445,全高：約180mm
446,全高：約230mm（武器／台座含む）
447,全高：約220mm（武器／台座含む）
448,全高：約230mm
449,全高：約210mm（台座含む）
450,全高：約180mm（台座含む）
451,全高：約230mm
452,全高：約230mm
453,全高：約220mm（台座含む）
454,全高：約220mm
455,全高：約230mm
456,全高：【レイヴン】約200mm（台座含む）
456,　　　【ミニフィギュア】約60mm
457,全高：【ウェイバー】約100mm
457,【ミニライダー】約50mm
458,全高：約170mm
459,全高：約210mm
